OBJECTID,GEOID10,Lead Paint,Diesel Particulate Matter,Air Toxics Cancer Risk,Air Toxics Respiratory HI,Traffic Proximity,Wastewater Discharge,Superfund Proximity,RMP Facility Proximity,Hazardous Waste Proximity,Ozone,Particulater Patter 2.5,Underground Storage Tanks
40201,110010001001,3.35,9.51,22.60,22.40,2.16,24.15,17.94,32.72,0.36,33.80,33.35,7.60
40202,110010001002,1.50,5.22,14.90,14.82,0.27,18.00,12.34,26.45,0.18,25.53,25.03,5.00
40203,110010001003,1.60,6.21,16.96,16.85,1.16,24.24,14.22,29.75,0.21,27.87,27.39,5.81
40204,110010001004,10.40,15.19,30.48,30.19,0.54,17.61,21.46,38.56,0.43,40.91,40.53,8.34
40205,110010002011,62.92,83.00,73.20,73.74,82.15,83.71,79.81,68.73,96.30,73.86,73.23,86.86
40206,110010002021,5.73,6.54,17.28,17.17,2.07,23.01,15.95,25.36,0.30,28.23,27.74,0.91
40207,110010002022,5.55,13.26,27.68,27.39,2.37,21.02,21.30,38.29,0.45,38.59,38.13,6.69
40208,110010002023,28.73,39.35,51.06,50.95,6.64,25.01,40.76,52.12,4.17,54.43,54.43,20.83
40209,110010002024,70.57,65.98,62.22,62.18,80.28,79.50,66.32,60.87,85.21,61.92,61.87,69.27
40210,110010003001,7.95,11.15,22.78,22.58,3.04,29.13,19.85,33.25,0.42,33.88,33.50,1.16
40211,110010003002,4.99,12.36,24.42,24.23,36.43,27.65,22.41,30.54,0.91,35.49,35.08,63.67
40212,110010003003,70.74,63.84,61.17,61.15,64.78,74.21,64.00,60.68,80.51,61.14,61.10,70.89
40213,110010003004,0.31,3.69,9.62,9.57,2.88,27.86,12.75,21.82,0.26,18.62,18.14,1.57
40214,110010004001,16.55,27.35,41.25,40.82,4.46,33.92,32.67,40.33,2.09,48.45,48.32,14.76
40215,110010004002,26.68,25.02,38.92,38.53,5.24,28.84,29.72,34.93,1.23,46.98,46.76,12.97
40216,110010005011,17.17,24.29,38.00,37.60,5.42,23.14,28.32,37.56,0.89,46.33,46.09,19.70
40217,110010005012,7.86,2.18,5.78,5.83,1.31,20.65,8.42,18.04,0.10,12.58,12.21,3.81
40218,110010005021,1.90,6.50,14.45,14.39,3.04,23.91,14.66,21.69,0.27,24.84,24.43,63.67
40219,110010005022,0.21,3.23,7.95,7.95,1.83,22.77,10.77,16.15,0.17,16.13,15.67,63.67
40220,110010006001,5.29,17.95,29.96,35.19,3.03,29.73,26.01,26.98,0.87,40.36,40.04,12.58
40221,110010006002,4.99,14.80,26.08,31.61,4.51,28.61,22.91,24.27,0.48,36.97,36.63,21.86
40222,110010006003,16.06,20.86,33.29,38.12,5.51,33.21,28.09,34.33,0.94,42.92,42.66,20.21
40223,110010006004,0.28,3.88,8.85,13.38,1.12,27.48,13.31,19.17,0.25,17.43,17.02,1.05
40224,110010007011,21.30,35.61,50.15,49.29,5.67,37.22,38.64,45.91,3.95,51.86,51.81,25.40
40225,110010007012,12.07,23.06,41.32,39.61,9.30,34.94,29.79,35.78,1.96,44.23,43.99,6.84
40226,110010007013,2.62,3.80,13.94,12.43,4.07,29.23,12.58,18.02,0.33,16.36,15.90,0.45
40227,110010007014,14.07,18.44,36.82,34.95,2.10,32.98,25.69,34.31,1.11,40.15,39.81,6.57
40228,110010007021,5.15,9.93,18.99,24.61,20.65,29.01,19.48,25.90,0.72,29.98,29.54,10.53
