OBJECTID,ID,P_UST,P_LDPNT_D2,P_DSLPM_D2,P_CANCR_D2,P_RESP_D2,P_PTRAF_D2,P_PWDIS_D2,P_PNPL_D2,P_PRMP_D2,P_PTSDF_D2,P_OZONE_D2,P_PM25_D2,P_UST_D2
40201,110010001001,80.03295916,3.351675189,9.507594607,22.60199156,22.3955709,2.164160432,24.1507608,17.94136523,32.71545407,0.36191531,33.797946,33.34599053,7.603902431
40202,110010001002,80.711635,1.498074294,5.219487744,14.89512041,14.82228595,0.266163548,17.99742926,12.34263668,26.44586118,0.177399142,25.52997427,25.03221591,4.997928731
40203,110010001003,80.19102755,1.595070405,6.214983413,16.95889195,16.84887731,1.161087785,24.23540598,14.22315545,29.74954118,0.213815937,27.86786723,27.38865766,5.805250034
40204,110010001004,83.94465327,10.3953453,15.19076398,30.48257293,30.19491643,0.539122506,17.61344533,21.45612229,38.56481381,0.426230723,40.91374288,40.52961742,8.343214297
40205,110010002011,88.4586651,62.92312043,82.99962216,73.19568735,73.74499743,82.14500563,83.71295339,79.81231185,68.72549592,96.30333336,73.86443285,73.22801824,86.86491079
40206,110010002021,95.33863357,5.725569528,6.53777714,17.28336522,17.1703238,2.065639567,23.00893947,15.94672071,25.35954637,0.303592893,28.22759251,27.73515258,0.907830351
40207,110010002022,85.32298501,5.551221759,13.25722962,27.67860851,27.39160748,2.368059934,21.01913623,21.29825205,38.28664435,0.451610869,38.58998094,38.12790606,6.689438263
40208,110010002023,84.49280844,28.73486277,39.34677609,51.0617871,50.94701309,6.637506024,25.0072823,40.75820124,52.1182509,4.170565737,54.43353603,54.4255683,20.82645743
40209,110010002024,69.56582565,70.57393243,65.97842057,62.22083356,62.17642789,80.28081843,79.50047611,66.32478217,60.87282684,85.21353129,61.92453076,61.86796079,69.27185971
40210,110010003001,95.91784208,7.950504475,11.1533929,22.77760633,22.57717917,3.041759986,29.13499199,19.85290899,33.25369327,0.423326294,33.882849,33.4993644,1.161626625
40211,110010003002,16.24488857,4.986204921,12.36288593,24.42447167,24.22619905,36.42793324,27.65421954,22.40972354,30.54444969,0.909042791,35.49315595,35.08474069,63.67139863
40212,110010003003,84.67243918,70.74328807,63.83553267,61.17232109,61.15153912,64.77797968,74.21191688,64.00404526,60.67600305,80.51323202,61.1351757,61.1011063,70.89096338
40213,110010003004,88.60838239,0.306067161,3.690709159,9.622262826,9.567672573,2.881782621,27.86005163,12.74889735,21.82135664,0.259818842,18.61779299,18.14341788,1.568951576
